시도명,시군명,산업단지 유형,산업단지명,조성면적(천제곱미터),입주업체(개사),고용인원(명)
강원특별자치도,동해시,국가산업단지,북평 국가산업단지,4278,82,1062
강원특별자치도,춘천시,일반산업단지,남면 일반산업단지,65,1,95
강원특별자치도,춘천시,일반산업단지,전력IT문화복합 일반산업단지,354,15,250
강원특별자치도,춘천시,일반산업단지,남춘천 일반산업단지,267,25,216
강원특별자치도,춘천시,일반산업단지,후평[재생사업지구] 일반산업단지,483,425,1552
강원특별자치도,춘천시,일반산업단지,동춘천(구 봉명) 일반산업단지,539,27,662
강원특별자치도,원주시,일반산업단지,원주자동차부품 일반산업단지,93,6,55
강원특별자치도,원주시,일반산업단지,동화 일반산업단지,409,28,1020
강원특별자치도,원주시,일반산업단지,문막[재생사업지구] 일반산업단지,396,24,1074
강원특별자치도,원주시,일반산업단지,우산 일반산업단지,346,20,1657
강원특별자치도,원주시,일반산업단지,문막 반계 일반산업단지,423,38,983
강원특별자치도,강릉시,일반산업단지,강릉과학 일반산업단지,1487,157,1753
강원특별자치도,강릉시,일반산업단지,강릉중소 일반산업단지,164,36,339
강원특별자치도,강릉시,일반산업단지,옥계첨단소재융합 일반산업단지,383,0,0
강원특별자치도,동해시,일반산업단지,북평 일반산업단지,725,207,"1,358"
강원특별자치도,동해시,일반산업단지,송정 일반산업단지,323,1,614
강원특별자치도,태백시,일반산업단지,동점(구 태백스포츠) 일반산업단지,216,5,25
강원특별자치도,삼척시,일반산업단지,호산(LNG) 일반산업단지,982,1,160
강원특별자치도,홍천군,일반산업단지,홍천북방 일반산업단지,525,2,269
강원특별자치도,횡성군,일반산업단지,우천 일반산업단지,755,20,852
강원특별자치도,철원군,일반산업단지,플라즈마 일반산업단지,315,2,0
강원특별자치도,춘천시,도시첨단산업단지,춘천도시첨단문화 산업단지,187,8,256
강원특별자치도,춘천시,도시첨단산업단지,춘천도시첨단정보 산업단지,25,1,0
강원특별자치도,춘천시,도시첨단산업단지,삼성SDS춘천센터 도시첨단 산업단지,40,1,61
강원특별자치도,춘천시,도시첨단산업단지,네이버도시첨단(구 NHN) 산업단지,101,1,178
강원특별자치도,춘천시,농공단지,거두 농공단지,309,26,1823
강원특별자치도,춘천시,농공단지,당림 농공단지,53,1,64
강원특별자치도,춘천시,농공단지,창촌 농공단지,114,30,186
강원특별자치도,춘천시,농공단지,퇴계 농공단지,341,178,1911
강원특별자치도,춘천시,농공단지,수동 농공단지,77,4,1835
강원특별자치도,춘천시,농공단지,퇴계제2 농공단지,93,38,320
강원특별자치도,원주시,농공단지,동화 농공단지,330,46,1163
강원특별자치도,원주시,농공단지,문막 농공단지,501,38,1756
강원특별자치도,원주시,농공단지,태장 농공단지,298,143,1183
강원특별자치도,강릉시,농공단지,주문진 농공단지,143,35,702
강원특별자치도,강릉시,농공단지,주문진제2 농공단지,158,21,271
강원특별자치도,태백시,농공단지,장성 농공단지,137,17,136
강원특별자치도,태백시,농공단지,철암 농공단지,127,29,244
강원특별자치도,속초시,농공단지,대포제2 농공단지,106,33,400
강원특별자치도,속초시,농공단지,대포제3 농공단지,162,50,451
강원특별자치도,속초시,농공단지,대포제1 농공단지,178,39,344
강원특별자치도,삼척시,농공단지,근덕 농공단지,130,28,179
강원특별자치도,삼척시,농공단지,도계 농공단지,71,9,38
강원특별자치도,홍천군,농공단지,상오안 농공단지,127,24,366
강원특별자치도,홍천군,농공단지,양덕원 농공단지,42,1,164
강원특별자치도,홍천군,농공단지,화전 농공단지,269,20,295
강원특별자치도,홍천군,농공단지,북방 농공단지,101,0,0
강원특별자치도,횡성군,농공단지,공근 농공단지,329,31,663
강원특별자치도,횡성군,농공단지,묵계 농공단지,176,13,831
강원특별자치도,횡성군,농공단지,우천 농공단지,173,24,346
강원특별자치도,횡성군,농공단지,우천제2 농공단지,329,23,818
강원특별자치도,영월군,농공단지,영월 농공단지,111,17,128
강원특별자치도,영월군,농공단지,영월제3 농공단지,259,27,269
강원특별자치도,영월군,농공단지,팔괴 농공단지,143,34,173
강원특별자치도,평창군,농공단지,방림 농공단지,62,11,178
강원특별자치도,평창군,농공단지,평창 농공단지,106,35,177
강원특별자치도,정선군,농공단지,예미 농공단지,107,13,67
강원특별자치도,정선군,농공단지,증산 농공단지,118,22,165
강원특별자치도,정선군,농공단지,함백 농공단지,100,5,72
강원특별자치도,철원군,농공단지,갈말 농공단지,125,3,110
강원특별자치도,철원군,농공단지,김화 농공단지,146,27,367
강원특별자치도,철원군,농공단지,동송 농공단지,164,15,257
강원특별자치도,양구군,농공단지,하리 농공단지,143,31,188
강원특별자치도,화천군,농공단지,원천 농공단지,112,28,249
강원특별자치도,인제군,농공단지,원통 농공단지,144,36,206
강원특별자치도,인제군,농공단지,귀둔 농공단지,54,0,0
강원특별자치도,고성군,농공단지,고성해양심층수전용 농공단지,100,25,158
강원특별자치도,고성군,농공단지,향목 농공단지,34,14,102
강원특별자치도,양양군,농공단지,포월 농공단지,117,39,358
강원특별자치도,양양군,농공단지,양양제2그린 농공단지,103,16,150
