순번,허가일자,상호,설비용량_kW,설치장소,원동력종류,상태
1,2025-12-24,㈜토교1호 (토교1호 태양광발전소),2999,"강원특별자치도 영월군 남면 토교리 1210번지 1211,1212,1213,1214,1215,1217-1,1218,1219,산110-2",태양광,인허가
2,2025-01-07,(주)솔라시너지2호 ((주)솔라시너지2호),1465.29,강원특별자치도 강릉시 왕산면 대기리 1037-4,태양광,인허가
3,2025-01-07,(주)왕산에스팜 ((주)왕산에스팜),1844.51,강원특별자치도 강릉시 왕산면 대기리 1037-4,태양광,인허가
4,2025-12-16,(주)무럭발전소 (왕산2호 태양광발전소),1998.48,강원특별자치도 강릉시 왕산면 대기리 산 608번지,태양광,인허가
5,2025-11-25,(주)금마태양광 (금마1호 태양광발전소),1013.55,"강원특별자치도 영월군 주천면 금마리 665번지 666,666-1",태양광,인허가
6,2025-11-25,(주)해올 (해올1호 태양광발전소),1000.5,강원특별자치도 영월군 주천면 금마리 666-1,태양광,인허가
7,2025-11-25,㈜우진전기 (우진전기 태양광발전소),1001,강원특별자치도 영월군 주천면 금마리 667번지,태양광,인허가
8,2025-11-25,㈜선보전기 (선보전기1호 태양광발전소),1001,강원특별자치도 영월군 주천면 금마리 667번지,태양광,인허가
9,2025-11-25,(주)민광 (드림민광 태양광발전소),1566,"강원특별자치도 양양군 현남면 견불리 289번지 291,292,294",태양광,인허가
10,2025-10-30,(주)고단전기오 (고단에너지17호),2993.75,"강원특별자치도 강릉시 왕산면 고단리 407번지 407,408,409,410,411,413,414",태양광,인허가
11,2025-10-30,(주)고단전기사 (고단에너지16호),2993.75,"강원특별자치도 강릉시 왕산면 고단리 350번지 351,352,370,371,372,373,374-9",태양광,인허가
12,2025-10-30,(주)고단전기삼 (고단에너지15호),2993.75,"강원특별자치도 강릉시 왕산면 고단리 349-1 349-2,349-3,358-1,374-10,374-11,374-13",태양광,인허가
13,2025-10-30,(주)고단전기이 (고단에너지9호),2993.75,"강원특별자치도 강릉시 왕산면 고단리 309-2 310-1,310-6,310-7,344,345-2",태양광,인허가
14,2025-10-30,(주)고단전기일 (고단에너지6호),2993.75,"강원특별자치도 강릉시 왕산면 고단리 298-2 303-3,308-5,308-6,308-10,313-1",태양광,인허가
15,2025-10-30,(주)고단에너지오 (고단에너지5호),2993.75,"강원특별자치도 강릉시 왕산면 고단리 303-3 308-1,308-8,308-14,308-15,308-16,308-17,308-18,308-20,308-35",태양광,인허가
16,2025-10-30,(주)고단에너지사 (고단에너지4호),2993.75,"강원특별자치도 강릉시 왕산면 고단리 309-2 309-3,309-5,310-6",태양광,인허가
17,2025-10-30,(주)고단에너지삼 (고단에너지3호),2993.75,"강원특별자치도 강릉시 왕산면 고단리 307번지 308-14,308-17,308-18,308-19,308-20,308-21,308-22,308-23,308-24,308-25,308-34",태양광,인허가
18,2025-10-30,(주)고단에너지이 (고단에너지2호),2993.75,"강원특별자치도 강릉시 왕산면 고단리 305-3 306-2,306-8,306-9,308-23,308-24,308-26,308-27,308-36,308-37,308-38",태양광,인허가
19,2025-10-30,(주)고단에너지일 (고단에너지1호),2993.75,"강원특별자치도 강릉시 왕산면 고단리 306-3 306-4,306-5,306-6,306-7,308-30,308-31,308-33",태양광,인허가
20,2025-10-30,(유)정선상생태양광 (정선상생태양광1호 태양광발전소),2925,"강원특별자치도 정선군 화암면 건천리 257번지 257-1,349,361,361-2",태양광,인허가
21,2025-10-30,(유)정선도라지태양광 (정선도라지태양광2호 태양광발전소),1125,강원특별자치도 정선군 화암면 건천리 44번지 45,태양광,인허가
22,2025-10-30,(유)정선나눔태양광 (정선나눔태양광2호 태양광발전소),1125,강원특별자치도 정선군 화암면 건천리 343번지,태양광,인허가
23,2025-10-30,(유)정선민둥산태양광 (정선민둥산태양광1호 태양광발전소),1800,"강원특별자치도 정선군 화암면 건천리 146번지 149-4,산268",태양광,인허가
24,2025-10-30,(유)정선나눔태양광 (정선나눔태양광1호 태양광발전소),1687.5,"강원특별자치도 정선군 화암면 건천리 16번지 15-1,15-2,17,210,211",태양광,인허가
25,2025-10-30,(유)정선도라지태양광 (정선도라지태양광1호 태양광발전소),1912.5,강원특별자치도 정선군 화암면 건천리 517번지,태양광,인허가
26,2025-10-30,(유)동강솔라 (동강솔라1호 태양광발전소),2025,강원특별자치도 정선군 화암면 건천리 59-2,태양광,인허가
27,2025-10-30,(유)삼탄에너지 (삼탄에너지2호 태양광발전소),1462.5,"강원특별자치도 정선군 화암면 건천리 128번지 128-1,137-1,산253",태양광,인허가
28,2025-10-30,(유)아우라지솔라 (아우라지솔라2호 태양광발전소),2025,강원특별자치도 정선군 화암면 건천리 54번지 59-2,태양광,인허가
29,2025-10-30,(유)광대곡에너지 (광대곡에너지1호 태양광발전소),2925,강원특별자치도 정선군 화암면 건천리 257-1,태양광,인허가
30,2025-10-30,(유)정선아리랑태양광 (정선아리랑태양광1호 태양광발전소),2925,"강원특별자치도 정선군 화암면 건천리 382-1 382-2,382-3,382-5",태양광,인허가
31,2025-10-30,(유)정선솔라원 (정선솔라원1호 태양광발전소),2925,"강원특별자치도 정선군 화암면 건천리 256-1 257-1,361-3",태양광,인허가
32,2025-10-30,(유)하이솔라원 (하이솔라원1호 태양광발전소),2025,"강원특별자치도 정선군 화암면 건천리 254번지 255-1,255-3,361-4",태양광,인허가
33,2025-10-30,(유)상유재에너지 (상유재에너지1호 태양광발전소),2025,강원특별자치도 정선군 화암면 건천리 372-3,태양광,인허가
34,2025-10-30,조문국6호 태양광발전소,1125,"강원특별자치도 정선군 화암면 건천리 143번지 144,145,산257",태양광,인허가
35,2025-10-30,(유)삼탄에너지 (삼탄에너지3호 태양광발전소),1350,강원특별자치도 정선군 화암면 건천리 356번지 355-2,태양광,인허가
36,2025-10-30,(유)정선하늘태양광 (정선하늘태양광1호 태양광발전소),2925,강원특별자치도 정선군 화암면 건천리 산 285번지,태양광,인허가
37,2025-10-30,(유)정선고랭지배추태양광 (정선고랭지배추태양광2호 태양광발전소),1912.5,강원특별자치도 정선군 화암면 건천리 518번지 517,태양광,인허가
38,2025-10-30,(유)정선햇빛태양광 (정선햇빛태양광1호 태양광발전소),2925,"강원특별자치도 정선군 화암면 건천리 183-1 ,183-3,산285",태양광,인허가
39,2025-10-30,(주)서라벌풍력 (서라벌풍력1호 태양광발전소),2925,강원특별자치도 정선군 화암면 건천리 365-3,태양광,인허가
40,2025-10-30,희정3호 태양광발전소,1237.5,강원특별자치도 정선군 화암면 건천리 355번지 356-7,태양광,인허가
41,2025-10-27,(주)수성1호 (수성1호),2115.54,"강원특별자치도 횡성군 갑천면 하대리 399번지 400,401,403,413,414,1074-1",태양광,인허가
42,2025-10-21,(주)글로리에너지 (반곡에너지1호 태양광발전소),2999.43,"강원특별자치도 홍천군 서면 반곡리 478번지 478,479,484,488,489,490,491,507-3,508,509,510,511",태양광,인허가
43,2025-10-15,(주)케이에스에스 (케이에스에스 태양광발전소),2190,"강원특별자치도 횡성군 둔내면 조항리 361번지 362,363",태양광,인허가
44,2025-09-29,㈜다온이앤씨 (㈜다온이앤씨 36호 태양광발전소),1546.24,강원특별자치도 횡성군 횡성읍 정암리 2번지,태양광,인허가
45,2025-08-21,㈜통해지이씨 (서기만당 태양광발전소),1876.48,"강원특별자치도 홍천군 서면 대곡리 1004번지 1005,1006,1010,1011",태양광,인허가
46,2025-08-19,㈜현대에코쏠라 (현대에코쏠라 재산리발전소),1075.2,강원특별자치도 평창군 용평면 재산리 979-37,태양광,인허가
47,2025-08-19,(주)현대태양광 (현대태양광 재산리발전소),1497.6,강원특별자치도 평창군 용평면 재산리 979-37,태양광,인허가
48,2025-06-27,㈜루미에너지(차항에너지20호 태양광발전소),2099.79,"강원특별자치도 평창군 대관령면 차항리 293-1 293-4,293-6,293-8,293-9,산3",태양광,인허가
49,2025-05-22,수성솔라(주) (하진부리1호 태양광발전소),1670,"강원특별자치도 평창군 진부면 하진부리 1113번지 1114,1114-1,1115,1116,1285,1286,산213,산21",태양광,인허가
50,2025-05-13,㈜썬룩스 (썬룩스 태양광발전소),2221.44,"강원특별자치도 횡성군 둔내면 조항리 349번지 350,351,353,353-1,산215",태양광,인허가
51,2025-05-13,㈜썬빌리지 (썬빌리지 태양광발전소),2296.32,"강원특별자치도 횡성군 둔내면 조항리 322번지 323,324,325,326,339",태양광,인허가
52,2025-05-09,(주)서안엠앤디(남춘천 태양광발전소),1360.64,강원특별자치도 춘천시 동산면 군자리 1392-1,태양광,공사진행
53,2024-12-26,브라이트 신림2호 태양광발전소,2150.33,"강원특별자치도 원주시 신림면 신림리 292번지 298,308,312",태양광,인허가
54,2024-12-26,브라이트 신림1호 태양광발전소,2624.32,강원특별자치도 원주시 신림면 신림리 292번지 311,태양광,인허가
55,2024-09-30,(주)써니에코 동산삼호태양광발전소,1101.24,강원특별자치도 평창군 진부면 동산리 229번지,태양광,인허가
56,2024-09-30,우엔장홀딩스(주) 동산이호태양광발전소,2002.14,"강원특별자치도 평창군 진부면 동산리 232번지 233,234,235,243,244",태양광,인허가
57,2024-09-30,엠제이컴퍼니(주) 동산일호태양광발전소,1101.24,"강원특별자치도 평창군 진부면 동산리 234번지 241-3,241-4,243,244,245,246",태양광,인허가
58,2024-09-19,(주)송한리백양발전소,1999.8,"강원특별자치도 횡성군 안흥면 송한리 26-1 26-1,26-2,26-3,33,산14-3,산15,산22-1",태양광,인허가
59,2024-08-28,(주)엔에이치엔 LS전선 동해 태양광발전소,2990.4,강원특별자치도 동해시 송정동 1697번지,태양광,사업개시
60,2024-07-22,(주)송한리진슬발전소,1499.85,"강원특별자치도 횡성군 안흥면 송한리 26번지 26-1,26-2,26-3,27,산14-2,산14-3",태양광,인허가
61,2024-07-15,솔라레이진도(주) 행촌 태양광발전소,2591.16,"강원특별자치도 춘천시 남산면 행촌리 489번지 484-1,487-5,490,491,492,493,510",태양광,사업개시
71,2024-04-22,그린태양광발전소(주) 후배태양광,1989.9,강원특별자치도 춘천시 북산면 추곡리 302-2,태양광,사업개시
72,2023-12-08,(주)용암솔라 (용암리 태양광발전소),1267.2,강원특별자치도 원주시 신림면 용암리 1143번지,태양광,사업개시
73,2023-12-04,(주)에스제이테크,1100.4,강원특별자치도 횡성군 우천면 상하가리 371번지,태양광,인허가
74,2023-10-15,광명태양광(주),2999.99,강원특별자치도 평창군 대화면 개수리 984번지,태양광,공사진행
75,2023-10-15,대한태양광(주),2999.99,강원특별자치도 평창군 대화면 개수리 806번지,태양광,공사진행
76,2023-10-15,한국태양광(주),2999.99,강원특별자치도 평창군 대화면 개수리 807번지,태양광,공사진행
77,2023-10-15,청계태양광(주),2999.99,강원특별자치도 평창군 대화면 개수리 806번지,태양광,공사진행
78,2023-10-15,수지태양광(주),2999.99,강원특별자치도 평창군 대화면 개수리 980번지,태양광,공사진행
79,2023-10-15,월드태양광(주),2999.99,강원특별자치도 평창군 대화면 개수리 993번지,태양광,공사진행
80,2023-10-15,은마태양광(주),2999.99,강원특별자치도 평창군 대화면 개수리 1002번지,태양광,공사진행
81,2023-09-26,지투에너지(주) 동원1호 태양광발전소,1610.76,강원특별자치도 횡성군 우천면 우천산업단지로 75-13,태양광,사업개시
82,2023-08-16,원주바이오파워(주),1320,강원특별자치도 원주시 가현동 380-2,연료전지,인허가
83,2023-05-15,케이앤씨지평선태양광발전소(주),1999.4,강원특별자치도 정선군 정선읍 귤암리 542번지,태양광,인허가
84,2023-03-20,(주)삼성태양광,1192.32,강원특별자치도 삼척시 도계읍 점리 303번지,태양광,인허가
86,2023-03-13,(주)네오플램,2499.75,"강원특별자치도 원주시 지정면 기업도시로 1, (주)네오플램",태양광,사업개시
87,2022-11-08,솔라원일호(주) 에너밸리태양광발전소,1999.79,강원특별자치도 양구군 국토정중앙면 청리 572번지번지,태양광,사업개시
88,2022-10-31,에이스에너지 태양광발전소,999.53,"강원특별자치도 태백시 오투로 229, 2층 3호(황지동)",태양광,사업개시
89,2022-10-27,경신동해태양광발전소(주),1152.8,강원특별자치도 동해시 공단6로 59-7(구호동),태양광,사업개시
91,2022-09-16,(주)광명태양광(광명 태양광발전소),2351.16,"강원특별자치도 태백시 적각동 28번지 ,42-4,44-2",태양광,인허가
92,2022-06-03,(주)목성파워(진동리 태양광발전소 2호),950.3,강원특별자치도 인제군 기린면 진동리 927번지,태양광,인허가
93,2022-06-03,(주)조조솔라(진동리 태양광발전소 1호),950.3,"강원특별자치도 인제군 기린면 진동리 927번지 ,928",태양광,인허가
94,2022-05-10,손곡태양광발전소 (주) 상우개발,1499.52,"강원특별자치도 원주시 부론면 손곡리 583번지 ,584,585,산15-1,산15-2",태양광,사업개시
95,2022-05-10,(주)빌드강릉에너지((주)빌드강릉에너지2 태양광발전소),1591.2,"강원특별자치도 강릉시 왕산면 고단리 936번지 ,939,940",태양광,사업개시
96,2022-04-25,(주)태영점리3호 ((주)태영점리3호 태양광발전소),1749,"강원특별자치도 삼척시 도계읍 점리 333번지 ,335",태양광,인허가
98,2022-03-24,에스디사호주식회사(에스디 횡성1호 태양광발전소),2499.64,"강원특별자치도 횡성군 강림면 월현리 1522번지 1523,1526,1527,1528",태양광,인허가
99,2021-11-23,브이에너지(주) (브이에너지 태양광발전소),1001.52,"강원특별자치도 춘천시 신동면 혈동리 201번지 ,202-1,-2,203-3,204",태양광,사업개시
100,2021-11-23,메가에너지(주) (메가에너지 태양광발전소),2005,"강원특별자치도 춘천시 신동면 혈동리 195번지 196,198,199-1,-2,-3,200,203-1,-2,-4,",태양광,사업개시
101,2021-11-01,덕곡 태양광발전소,1400,"강원특별자치도 횡성군 우천면 상대리 305번지 ,306,308,310-1,-2,-3,315,318,320-2,-3",태양광,사업개시
102,2021-08-19,아이아이알 태양광발전소,1457.28,"강원특별자치도 홍천군 남면 유치리 399번지 ,424,425,426번지건축물상부",태양광,사업개시
103,2021-08-10,한국농어촌공사 철원지사(풍암지구 수상태양광발전소),1160,"강원특별자치도 철원군 근남면 풍암리 산 9-9 ,64,50-1,492-17,산15-10,산9-11,53,54,57",태양광,인허가
104,2021-07-15,솔라원이호(주) 에이치와이 태양광발전소,998.4,강원특별자치도 정선군 남면 유평리 136번지,태양광,사업개시
105,2021-07-15,솔라원이호(주) 에이치에너지 태양광발전소,998.4,강원특별자치도 정선군 남면 유평리 136번지 136-1,태양광,사업개시
106,2021-07-15,솔라원이호(주) 아폴론 태양광발전소,998.4,"강원특별자치도 정선군 남면 유평리 134번지 134-1,135-1",태양광,사업개시
108,2021-05-31,횡성솔라(주)(횡성솔라 발전소),2001.6,강원특별자치도 횡성군 우천면 오원리 1-3,태양광,인허가
109,2021-05-31,새말솔라(주)(새말솔라 제2발전소),2001.6,강원특별자치도 횡성군 우천면 오원리 산 82-1,태양광,인허가
110,2021-05-31,새말솔라(주)(새말솔라 제1발전소),2498.4,강원특별자치도 횡성군 우천면 오원리 3번지,태양광,인허가
111,2021-05-31,다산솔라(주)(다산솔라 제2발전소),2498.4,강원특별자치도 횡성군 우천면 오원리 62-3,태양광,인허가
