연도	시도	시군구	업종별	 1월 
2026	서울특별시	종로구	농업. 임업	 9,543 
2026	서울특별시	종로구	금속비금속	 59,831 
2026	서울특별시	종로구	식료품제조	 141,226 
2026	서울특별시	종로구	섬      유	 258,026 
2026	서울특별시	종로구	의복. 모피	 1,874,167 
2026	서울특별시	종로구	가죽. 신발	 18,750 
2026	서울특별시	종로구	목재. 나무	 47,469 
2026	서울특별시	종로구	펄프. 종이	 35,015 
2026	서울특별시	종로구	출판. 인쇄	 142,717 
2026	서울특별시	종로구	화학  제품	 52,256 
2026	서울특별시	종로구	고무. 플라	 74,056 
2026	서울특별시	종로구	유      리	 3,518 
2026	서울특별시	종로구	시  멘  트	 27,264 
2026	서울특별시	종로구	1차   금속	 51,439 
2026	서울특별시	종로구	조립  금속	 114,120 
2026	서울특별시	종로구	기타  기계	 74,703 
2026	서울특별시	종로구	전기  기기	 24,291 
2026	서울특별시	종로구	영상. 음향	 12,488 
2026	서울특별시	종로구	의료. 광학	 89,154 
2026	서울특별시	종로구	자  동  차	 322 
2026	서울특별시	종로구	기타  운송	 13,317 
2026	서울특별시	종로구	가구및기타	 1,618,663 
2026	서울특별시	종로구	수      도	 150,220 
2026	서울특별시	종로구	사업자  용	 187,901 
2026	서울특별시	종로구	가정용부문	 22,976,111 
2026	서울특별시	종로구	국  군  용	 475,613 
2026	서울특별시	종로구	기타공공용	 10,379,817 
2026	서울특별시	종로구	관  공  용	 7,573,399 
2026	서울특별시	종로구	순수써비스	 122,389,315 
2026	서울특별시	종로구	합 계	 168,874,711 
2026	서울특별시	중구	농업. 임업	 1,953 
2026	서울특별시	중구	금속비금속	 11,669 
2026	서울특별시	중구	식료품제조	 250,975 
2026	서울특별시	중구	음료품제조	 6,005 
2026	서울특별시	중구	섬      유	 338,985 
2026	서울특별시	중구	의복. 모피	 2,207,836 
2026	서울특별시	중구	가죽. 신발	 73,996 
2026	서울특별시	중구	목재. 나무	 56,985 
2026	서울특별시	중구	펄프. 종이	 1,194,145 
2026	서울특별시	중구	출판. 인쇄	 9,099,058 
2026	서울특별시	중구	석유  정제	 1,457 
2026	서울특별시	중구	화학  제품	 148,130 
2026	서울특별시	중구	고무. 플라	 166,299 
2026	서울특별시	중구	유      리	 11,542 
2026	서울특별시	중구	시  멘  트	 11,834 
2026	서울특별시	중구	1차   금속	 23,552 
2026	서울특별시	중구	조립  금속	 131,645 
2026	서울특별시	중구	기타  기계	 191,072 
2026	서울특별시	중구	사무  기기	 6,776 
2026	서울특별시	중구	전기  기기	 18,761 
2026	서울특별시	중구	영상. 음향	 6,926 
2026	서울특별시	중구	의료. 광학	 36,744 
2026	서울특별시	중구	기타  운송	 98,036 
2026	서울특별시	중구	가구및기타	 1,202,264 
2026	서울특별시	중구	수      도	 31,261 
2026	서울특별시	중구	사업자  용	 1,093,216 
2026	서울특별시	중구	가정용부문	 19,674,839 
2026	서울특별시	중구	국  군  용	 684 
2026	서울특별시	중구	유엔군  용	 27,924 
2026	서울특별시	중구	기타공공용	 6,329,311 
2026	서울특별시	중구	관  공  용	 6,217,704 
2026	서울특별시	중구	순수써비스	 175,174,027 
2026	서울특별시	중구	합 계	 223,845,611 
2026	서울특별시	용산구	농업. 임업	 4,485 
2026	서울특별시	용산구	식료품제조	 101,626 
2026	서울특별시	용산구	섬      유	 58,807 
2026	서울특별시	용산구	의복. 모피	 418,008 
2026	서울특별시	용산구	가죽. 신발	 10,007 
2026	서울특별시	용산구	목재. 나무	 2,185 
2026	서울특별시	용산구	펄프. 종이	 25,734 
2026	서울특별시	용산구	출판. 인쇄	 208,691 
2026	서울특별시	용산구	화학  제품	 8,480 
2026	서울특별시	용산구	고무. 플라	 15,427 
2026	서울특별시	용산구	시  멘  트	 19,672 
2026	서울특별시	용산구	1차   금속	 215 
2026	서울특별시	용산구	조립  금속	 18,130 
2026	서울특별시	용산구	기타  기계	 25,475 
2026	서울특별시	용산구	사무  기기	 16,437 
2026	서울특별시	용산구	전기  기기	 18,322 
2026	서울특별시	용산구	의료. 광학	 43,627 
2026	서울특별시	용산구	자  동  차	 1,058 
2026	서울특별시	용산구	가구및기타	 18,498 
2026	서울특별시	용산구	재생  재료	 7,434 
2026	서울특별시	용산구	수      도	 547,387 
2026	서울특별시	용산구	사업자  용	 90,855 
2026	서울특별시	용산구	전      철	 451,593 
2026	서울특별시	용산구	가정용부문	 35,549,687 
2026	서울특별시	용산구	국  군  용	 2,597,103 
2026	서울특별시	용산구	유엔군  용	 2,110,821 
2026	서울특별시	용산구	기타공공용	 5,106,798 
2026	서울특별시	용산구	관  공  용	 14,916,541 
2026	서울특별시	용산구	순수써비스	 94,602,737 
2026	서울특별시	용산구	합 계	 156,995,840 
2026	서울특별시	성동구	농업. 임업	 34,089 
2026	서울특별시	성동구	금속비금속	 28,964 
2026	서울특별시	성동구	식료품제조	 3,258,541 
2026	서울특별시	성동구	음료품제조	 12,354 
2026	서울특별시	성동구	섬      유	 676,136 
2026	서울특별시	성동구	의복. 모피	 1,442,999 
2026	서울특별시	성동구	가죽. 신발	 484,950 
2026	서울특별시	성동구	목재. 나무	 86,513 
2026	서울특별시	성동구	펄프. 종이	 690,072 
2026	서울특별시	성동구	출판. 인쇄	 3,928,512 
2026	서울특별시	성동구	석유  정제	 187,583 
2026	서울특별시	성동구	화학  제품	 252,114 
2026	서울특별시	성동구	고무. 플라	 251,825 
2026	서울특별시	성동구	유      리	 123,355 
2026	서울특별시	성동구	시  멘  트	 123,948 
2026	서울특별시	성동구	1차   금속	 161,789 
2026	서울특별시	성동구	조립  금속	 717,560 
2026	서울특별시	성동구	기타  기계	 1,417,577 
2026	서울특별시	성동구	사무  기기	 10,960 
2026	서울특별시	성동구	전기  기기	 731,682 
2026	서울특별시	성동구	영상. 음향	 133,335 
2026	서울특별시	성동구	의료. 광학	 765,799 
2026	서울특별시	성동구	자  동  차	 406,996 
2026	서울특별시	성동구	기타  운송	 1,102 
2026	서울특별시	성동구	가구및기타	 478,706 
2026	서울특별시	성동구	재생  재료	 29,745 
2026	서울특별시	성동구	수      도	 4,920,080 
2026	서울특별시	성동구	사업자  용	 417,209 
2026	서울특별시	성동구	전      철	 16,995,476 
2026	서울특별시	성동구	가정용부문	 39,696,143 
2026	서울특별시	성동구	국  군  용	 46,861 
2026	서울특별시	성동구	기타공공용	 29,904,329 
2026	서울특별시	성동구	관  공  용	 2,801,856 
2026	서울특별시	성동구	순수써비스	 99,836,031 
2026	서울특별시	성동구	합 계	 211,055,191 
2026	서울특별시	동대문구	농업. 임업	 39,156 
2026	서울특별시	동대문구	어      업	 6,060 
2026	서울특별시	동대문구	금속비금속	 4,297 
2026	서울특별시	동대문구	식료품제조	 566,486 
2026	서울특별시	동대문구	음료품제조	 5,612 
2026	서울특별시	동대문구	섬      유	 1,072,036 
2026	서울특별시	동대문구	의복. 모피	 2,619,788 
2026	서울특별시	동대문구	가죽. 신발	 54,663 
2026	서울특별시	동대문구	목재. 나무	 9,312 
2026	서울특별시	동대문구	펄프. 종이	 71,235 
2026	서울특별시	동대문구	출판. 인쇄	 134,337 
2026	서울특별시	동대문구	화학  제품	 29,800 
2026	서울특별시	동대문구	고무. 플라	 83,725 
2026	서울특별시	동대문구	유      리	 5,834 
2026	서울특별시	동대문구	시  멘  트	 11,829 
2026	서울특별시	동대문구	1차   금속	 55,537 
2026	서울특별시	동대문구	조립  금속	 118,964 
2026	서울특별시	동대문구	기타  기계	 81,001 
2026	서울특별시	동대문구	사무  기기	 12,244 
2026	서울특별시	동대문구	전기  기기	 75,906 
2026	서울특별시	동대문구	영상. 음향	 14,308 
2026	서울특별시	동대문구	의료. 광학	 174,236 
2026	서울특별시	동대문구	자  동  차	 31,087 
2026	서울특별시	동대문구	기타  운송	 3,341 
2026	서울특별시	동대문구	가구및기타	 154,971 
2026	서울특별시	동대문구	수      도	 714,132 
2026	서울특별시	동대문구	사업자  용	 209,833 
2026	서울특별시	동대문구	전      철	 4,593,273 
2026	서울특별시	동대문구	가정용부문	 51,433,308 
2026	서울특별시	동대문구	국  군  용	 2,369 
2026	서울특별시	동대문구	기타공공용	 11,524,673 
2026	서울특별시	동대문구	관  공  용	 4,999,004 
2026	서울특별시	동대문구	순수써비스	 65,958,103 
2026	서울특별시	동대문구	합 계	 144,870,460 
2026	서울특별시	성북구	농업. 임업	 12,200 
2026	서울특별시	성북구	식료품제조	 345,387 
2026	서울특별시	성북구	섬      유	 784,961 
2026	서울특별시	성북구	의복. 모피	 1,395,224 
2026	서울특별시	성북구	가죽. 신발	 38,698 
2026	서울특별시	성북구	목재. 나무	 8,436 
2026	서울특별시	성북구	펄프. 종이	 16,091 
2026	서울특별시	성북구	출판. 인쇄	 73,342 
2026	서울특별시	성북구	화학  제품	 59,669 
2026	서울특별시	성북구	고무. 플라	 175,650 
2026	서울특별시	성북구	유      리	 8,022 
2026	서울특별시	성북구	시  멘  트	 4,789 
2026	서울특별시	성북구	1차   금속	 25,254 
2026	서울특별시	성북구	조립  금속	 16,932 
2026	서울특별시	성북구	기타  기계	 148,170 
2026	서울특별시	성북구	전기  기기	 1,303 
2026	서울특별시	성북구	영상. 음향	 3,875 
2026	서울특별시	성북구	의료. 광학	 42,947 
2026	서울특별시	성북구	자  동  차	 4,477 
2026	서울특별시	성북구	기타  운송	 3,355 
2026	서울특별시	성북구	가구및기타	 75,075 
2026	서울특별시	성북구	수      도	 1,491,972 
2026	서울특별시	성북구	사업자  용	 161,909 
2026	서울특별시	성북구	가정용부문	 56,217,257 
2026	서울특별시	성북구	국  군  용	 108,779 
2026	서울특별시	성북구	기타공공용	 23,614,993 
2026	서울특별시	성북구	관  공  용	 3,192,766 
2026	서울특별시	성북구	순수써비스	 57,107,818 
2026	서울특별시	성북구	합 계	 145,139,351 
2026	서울특별시	도봉구	농업. 임업	 23,436 
2026	서울특별시	도봉구	어      업	 6,723 
2026	서울특별시	도봉구	식료품제조	 393,627 
2026	서울특별시	도봉구	음료품제조	 105,597 
2026	서울특별시	도봉구	섬      유	 271,655 
2026	서울특별시	도봉구	의복. 모피	 1,600,429 
2026	서울특별시	도봉구	가죽. 신발	 12,782 
2026	서울특별시	도봉구	목재. 나무	 3,808 
2026	서울특별시	도봉구	펄프. 종이	 6,338 
2026	서울특별시	도봉구	출판. 인쇄	 193,639 
2026	서울특별시	도봉구	화학  제품	 38,434 
2026	서울특별시	도봉구	고무. 플라	 110,400 
2026	서울특별시	도봉구	유      리	 26,433 
2026	서울특별시	도봉구	시  멘  트	 2,048 
2026	서울특별시	도봉구	1차   금속	 2,214 
2026	서울특별시	도봉구	조립  금속	 28,007 
2026	서울특별시	도봉구	기타  기계	 16,882 
2026	서울특별시	도봉구	전기  기기	 21,890 
2026	서울특별시	도봉구	영상. 음향	 3,485 
2026	서울특별시	도봉구	의료. 광학	 36,513 
2026	서울특별시	도봉구	자  동  차	 131,374 
2026	서울특별시	도봉구	가구및기타	 57,357 
2026	서울특별시	도봉구	재생  재료	 18,117 
2026	서울특별시	도봉구	수      도	 508,900 
2026	서울특별시	도봉구	사업자  용	 137,315 
2026	서울특별시	도봉구	가정용부문	 38,944,459 
2026	서울특별시	도봉구	기타공공용	 4,285,406 
2026	서울특별시	도봉구	관  공  용	 2,211,669 
2026	서울특별시	도봉구	순수써비스	 37,423,662 
2026	서울특별시	도봉구	합 계	 86,622,599 
2026	서울특별시	은평구	농업. 임업	 19,656 
2026	서울특별시	은평구	어      업	 6,989 
2026	서울특별시	은평구	금속비금속	 1,377 
2026	서울특별시	은평구	식료품제조	 254,515 
2026	서울특별시	은평구	음료품제조	 37,904 
2026	서울특별시	은평구	섬      유	 138,773 
2026	서울특별시	은평구	의복. 모피	 267,370 
2026	서울특별시	은평구	가죽. 신발	 26,343 
2026	서울특별시	은평구	목재. 나무	 2,397 
2026	서울특별시	은평구	펄프. 종이	 13,846 
2026	서울특별시	은평구	출판. 인쇄	 16,639 
2026	서울특별시	은평구	화학  제품	 8,233 
2026	서울특별시	은평구	고무. 플라	 23,691 
2026	서울특별시	은평구	유      리	 3,777 
2026	서울특별시	은평구	시  멘  트	 2,873 
2026	서울특별시	은평구	조립  금속	 20,212 
2026	서울특별시	은평구	기타  기계	 21,961 
2026	서울특별시	은평구	전기  기기	 2,558 
2026	서울특별시	은평구	영상. 음향	 12,201 
2026	서울특별시	은평구	의료. 광학	 40,393 
2026	서울특별시	은평구	자  동  차	 4,043 
2026	서울특별시	은평구	가구및기타	 36,991 
2026	서울특별시	은평구	재생  재료	 10,400 
2026	서울특별시	은평구	수      도	 899,378 
2026	서울특별시	은평구	사업자  용	 245,648 
2026	서울특별시	은평구	전      철	 13,619,033 
2026	서울특별시	은평구	가정용부문	 60,229,959 
2026	서울특별시	은평구	국  군  용	 323,954 
2026	서울특별시	은평구	기타공공용	 5,662,437 
2026	서울특별시	은평구	관  공  용	 4,701,697 
2026	서울특별시	은평구	순수써비스	 56,490,490 
2026	서울특별시	은평구	합 계	 143,145,738 
2026	서울특별시	서대문구	농업. 임업	 11,583 
2026	서울특별시	서대문구	식료품제조	 201,681 
2026	서울특별시	서대문구	섬      유	 35,487 
2026	서울특별시	서대문구	의복. 모피	 144,380 
2026	서울특별시	서대문구	가죽. 신발	 30,834 
2026	서울특별시	서대문구	목재. 나무	 2,015 
2026	서울특별시	서대문구	펄프. 종이	 24,115 
2026	서울특별시	서대문구	출판. 인쇄	 480,467 
2026	서울특별시	서대문구	화학  제품	 13,607 
2026	서울특별시	서대문구	고무. 플라	 34,460 
2026	서울특별시	서대문구	유      리	 4,319 
2026	서울특별시	서대문구	시  멘  트	 9,627 
2026	서울특별시	서대문구	1차   금속	 1,142 
2026	서울특별시	서대문구	조립  금속	 6,376 
2026	서울특별시	서대문구	기타  기계	 15,659 
2026	서울특별시	서대문구	사무  기기	 2,905 
2026	서울특별시	서대문구	전기  기기	 414 
2026	서울특별시	서대문구	영상. 음향	 6,568 
2026	서울특별시	서대문구	의료. 광학	 47,757 
2026	서울특별시	서대문구	자  동  차	 9,327 
2026	서울특별시	서대문구	가구및기타	 29,613 
2026	서울특별시	서대문구	재생  재료	 13,906 
2026	서울특별시	서대문구	수      도	 1,103,392 
2026	서울특별시	서대문구	사업자  용	 104,055 
2026	서울특별시	서대문구	가정용부문	 41,570,818 
2026	서울특별시	서대문구	국  군  용	 154,974 
2026	서울특별시	서대문구	기타공공용	 20,636,841 
2026	서울특별시	서대문구	관  공  용	 3,684,333 
2026	서울특별시	서대문구	순수써비스	 57,613,192 
