연도,시도,시군구,계약종별, 1월, 2월, 3월, 4월, 5월, 6월, 7월, 8월, 9월, 10월, 11월, 12월
2014,서울특별시,종로구,주택용,23927779,23261797,20444406,20788789,19726444,21176000,23057012,25028593,22412160,20029634,20532856,22344130
2014,서울특별시,종로구,일반용,112558210,105822983,95023676,89687316,86672086,100590263,115802102,117397411,103884476,90325098,88813459,108822346
2014,서울특별시,종로구,교육용,9364161,8765126,7447769,7033217,6325705,7660249,8539203,8426839,8110248,6747050,7108736,9425672
2014,서울특별시,종로구,산업용,6403570,6173428,6397246,6351295,5574156,6011040,6081911,5846640,5947788,5670483,5689025,6386678
2014,서울특별시,종로구,농사용,2074,2377,1805,1575,1521,1987,1897,1960,1683,1562,2103,2818
2014,서울특별시,종로구,가로등,1123389,1060439,946890,940125,872822,812445,803092,862372,919301,990662,1076922,1120461
2014,서울특별시,종로구,심 야,5172249,5002788,4013821,3353728,3505105,4469528,5896921,5653980,4517222,2328146,2454887,3730286
2014,서울특별시,중구,주택용,17158652,16776249,14620963,14962036,14144692,15064342,16214504,17771211,15805388,14223214,14930278,16183777
2014,서울특별시,중구,일반용,176427394,163432399,153600962,146875587,147324800,167393512,192305686,189116906,169090375,148970818,142104156,172163784
2014,서울특별시,중구,교육용,5238462,4729905,4152317,3308879,3039072,3591472,4001853,3639645,3683013,3169497,3659029,5913867
2014,서울특별시,중구,산업용,23293538,22157472,21287443,20197673,17642469,19716362,21332493,21479904,20609290,18740920,18610592,22103822
2014,서울특별시,중구,가로등,1778896,1686912,1545162,1594141,1500089,1483511,1480019,1507106,1552318,1574324,1664238,1697116
2014,서울특별시,중구,심 야,1332948,1147895,1115924,1629850,3924210,7332789,10229697,9382313,7518367,3058569,992228,965888
2014,서울특별시,용산구,주택용,35752122,35275570,30563846,31508624,29727040,32023889,34768872,38343036,34347827,30161732,31189978,33578538
2014,서울특별시,용산구,일반용,71420192,67142117,59114755,56261499,54362556,64356266,73883899,76741239,68340068,57134300,55170319,67268577
2014,서울특별시,용산구,교육용,5136632,4785004,4162598,3940189,3543095,4176644,4884372,4702018,4518612,3927171,3889168,5217265
2014,서울특별시,용산구,산업용,8539949,8305404,7840810,7852002,7373438,7957598,7921230,8519886,8250590,7721799,7706249,8550771
2014,서울특별시,용산구,농사용,317,300,220,168,131,120,106,101,88,92,83,73
2014,서울특별시,용산구,가로등,1539643,1436106,1290353,1267174,1160039,1105251,1077700,1139894,1213650,1294037,1405987,1472008
2014,서울특별시,용산구,심 야,1078960,1049106,821985,614771,516344,905010,1300095,1270003,700014,478248,512677,793222
2014,서울특별시,성동구,주택용,35775299,35489902,30832932,32159592,29985519,31778656,33354523,37463938,33609195,30169397,31444063,33253863
2014,서울특별시,성동구,일반용,58216831,55045092,48611789,45508872,43154300,49265004,56317376,58935123,52981773,46348673,46234375,57189999
2014,서울특별시,성동구,교육용,6624160,6315824,6096420,5360044,5215282,4666471,8018354,6318367,5913366,5104602,5314386,7456244
2014,서울특별시,성동구,산업용,67115627,63249120,62396728,62606843,59343753,61805222,65247534,66568782,62973275,60762086,60266351,64159190
2014,서울특별시,성동구,농사용,98,107,95,98,73,30,17,101,204,158,95,147
2014,서울특별시,성동구,가로등,1285120,1239499,1131313,1064322,1009623,968227,925048,981447,1044769,1101189,1218021,1281588
2014,서울특별시,성동구,심 야,839921,812369,603645,376101,211411,237939,326030,344248,271091,184456,238147,530450
2014,서울특별시,동대문구,주택용,44107912,43715310,38166968,39681108,37289501,39303406,41425555,45771600,41546813,37455976,39287606,41816884
2014,서울특별시,동대문구,일반용,62998542,60106097,52075756,48941158,45669780,52590171,59606818,64120563,56739743,47895422,47051853,56319915
2014,서울특별시,동대문구,교육용,8403781,7604967,6878363,6247777,5645109,6329271,7360155,6938700,6376998,5863188,6221371,8655079
2014,서울특별시,동대문구,산업용,14720417,14293881,12853277,12736703,11882457,12886722,14343889,15709079,14697072,12648540,12612980,14217425
2014,서울특별시,동대문구,농사용,2277,2742,2417,2112,2020,2816,3287,3420,3095,2758,5431,6021
