"용도별(1)",용도별(2),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"용도별(1)",용도별(2),계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,개성
"합계",소계,549820665,50351994,21851300,16746899,25964395,9343348,10169884,31919081,4151676,143301641,16688343,27567058,50036920,21640147,33580744,43732809,36577870,6196556,-
"가정용",소계,84426796,15336443,5441256,3935409,5244285,2401829,2312804,1765791,708491,22962874,2433938,2598278,3564940,2734491,2768978,3927706,5210684,1078599,-
"공공용",소계,27108812,3830364,1339656,954150,1115953,610915,1102742,568276,390975,6522800,1619228,1437504,1245781,1160667,1388421,1846306,1596999,378075,-
"서비스업",소계,161049216,29813740,8234870,6061851,8642070,3479209,4548813,3738492,1072765,42149254,6809533,5720482,7917061,5352127,6080605,8885235,9558712,2984396,-
"농림어업",소계,19064577,19758,109688,142611,163552,83568,36826,91837,96004,2739726,794163,967310,2445935,1771522,3554148,2268226,2338490,1441211,-
"광업",소계,1638861,1877,17824,26064,72293,2587,1269,11715,11406,242270,427274,118185,325673,63189,64515,184236,61174,7311,-
"제조업(10차)",소계,256532403,1349813,6708005,5626815,10726242,2765240,2167430,25742970,1872036,68684716,4604208,16725298,34537529,10558152,19724076,26621100,17811810,306964,-
"제조업(10차)",식료품,12817417,231309,624300,233975,657986,137343,143931,197039,134871,2923380,527698,1321195,1453580,1689616,874152,593361,959309,114371,-
"제조업(10차)",음료,1320644,13605,18055,30426,16191,40693,19150,13804,6991,345021,131252,151184,93442,116545,20914,81189,139227,82955,-
"제조업(10차)",담배,200227,93,4,27,4,15221,71477,-,-,3226,15,19,16,-,8,36741,73375,-,-
"제조업(10차)",섬유제품,6073088,91129,153880,609289,30508,130262,26677,299801,17990,1231205,15441,149638,141664,553762,148396,2293889,179333,223,-
"제조업(10차)",의복모피,525936,279346,27992,35389,10398,1907,2189,909,233,122366,1075,4038,8801,10836,3431,11775,5107,144,-
"제조업(10차)",가죽가방,411134,16812,85995,4328,7739,74,2289,727,2110,156096,663,53720,6099,4648,468,7965,61378,23,-
"제조업(10차)",목재나무,1564227,3788,29660,21156,385399,5743,4446,14609,1353,479957,16249,51728,129162,258925,22784,71031,66949,1287,-
"제조업(10차)",펄프종이,7657447,32941,30660,461227,49873,48144,537725,576339,360884,1789118,23419,818546,730340,964665,97680,379058,736353,20474,-
"제조업(10차)",인쇄매체,1114557,166939,24328,32846,84716,18336,16369,3144,1808,640911,6822,30423,46222,6641,1854,10282,21719,1198,-
"제조업(10차)",연탄석유,13407838,2449,5320,11499,950604,737,217,6130608,59,38487,967,16140,4916258,3978,1272022,50770,7689,36,-
"제조업(10차)",화학,41631203,37472,277166,183540,428053,74151,207927,10411807,192694,6176934,90499,1893113,4059281,2148043,11933916,2787668,699539,29399,-
"제조업(10차)",의료의약,3327283,16484,38352,15276,512035,2207,60716,3949,65584,1126274,123247,901437,302913,43573,51511,44769,9998,8959,-
"제조업(10차)",플라스틱,9132419,40302,192023,191006,254801,324209,275651,603199,121961,2083815,97141,1058062,1191886,260841,369989,1007039,1053516,6978,-
"제조업(10차)",비금속,10538880,18541,96127,82296,186554,24536,32423,180795,424649,1492885,2809711,2113042,872407,562416,416885,783326,417224,25064,-
"제조업(10차)",1차금속,30084241,10893,1637814,260728,1602603,39361,43068,2780443,38464,1878774,333733,386134,4502646,2011037,2691809,8545622,3318988,2124,-
"제조업(10차)",금속가공,8195330,41815,731952,600594,532995,141173,52139,208866,12867,1961700,35838,763248,563436,139860,131191,767068,1508252,2338,-
"제조업(10차)",전자통신,57451081,48641,96584,368695,1480972,766189,197876,40997,282394,35950677,68397,3146443,10206192,423177,52219,3663212,656724,1694,-
"제조업(10차)",의료광학,3492727,30555,69445,101095,1545518,33431,52029,21627,5021,604408,37086,102144,484948,31286,11291,122606,239231,1006,-
"제조업(10차)",전기장비,9260193,20711,145882,353080,180091,232092,98583,630674,77310,1051118,29903,1949096,813414,239257,781754,1649945,1005571,1714,-
"제조업(10차)",기타기계,11299946,116708,983737,482773,843643,181817,94811,214927,35586,3977468,35764,446525,916320,148098,71638,925120,1822866,2143,-
"제조업(10차)",자동차,18870666,16556,1133213,1447190,491260,535666,195134,2250587,84450,2971419,168111,771538,2975615,824186,74294,2589497,2341546,406,-
"제조업(10차)",기타운송,4832382,16651,260899,50783,53347,2990,13689,1153330,553,89995,31925,21739,33154,90127,667756,146605,2198467,372,-
"제조업(10차)",가구,654021,2844,7807,16744,85949,5279,4095,2340,336,423088,7147,24894,11065,5243,6527,25283,24008,1371,-
"제조업(10차)",기타제품,2591095,91759,33728,31302,330929,2137,14603,1436,3584,1153050,9101,546612,72540,16177,6849,21204,254651,1434,-
"제조업(10차)",산업기계,78421,1469,3082,1553,4076,1543,216,1013,283,13343,3004,4642,6127,5214,14738,6076,10792,1251,-
