month,hour,season,load_type,rate_won_per_kWh,base_charge_won_per_kW
1,0,동계,경부하,64.3,8220
1,1,동계,경부하,64.3,8220
1,2,동계,경부하,64.3,8220
1,3,동계,경부하,64.3,8220
1,4,동계,경부하,64.3,8220
1,5,동계,경부하,64.3,8220
1,6,동계,경부하,64.3,8220
1,7,동계,경부하,64.3,8220
1,8,동계,경부하,64.3,8220
1,9,동계,중간부하,101.8,8220
1,10,동계,최대부하,147.2,8220
1,11,동계,최대부하,147.2,8220
1,12,동계,중간부하,101.8,8220
1,13,동계,중간부하,101.8,8220
1,14,동계,중간부하,101.8,8220
1,15,동계,중간부하,101.8,8220
1,16,동계,중간부하,101.8,8220
1,17,동계,최대부하,147.2,8220
1,18,동계,최대부하,147.2,8220
1,19,동계,최대부하,147.2,8220
1,20,동계,중간부하,101.8,8220
1,21,동계,중간부하,101.8,8220
1,22,동계,최대부하,147.2,8220
1,23,동계,경부하,64.3,8220
2,0,동계,경부하,64.3,8220
2,1,동계,경부하,64.3,8220
2,2,동계,경부하,64.3,8220
2,3,동계,경부하,64.3,8220
2,4,동계,경부하,64.3,8220
2,5,동계,경부하,64.3,8220
2,6,동계,경부하,64.3,8220
2,7,동계,경부하,64.3,8220
2,8,동계,경부하,64.3,8220
2,9,동계,중간부하,101.8,8220
2,10,동계,최대부하,147.2,8220
2,11,동계,최대부하,147.2,8220
2,12,동계,중간부하,101.8,8220
2,13,동계,중간부하,101.8,8220
2,14,동계,중간부하,101.8,8220
2,15,동계,중간부하,101.8,8220
2,16,동계,중간부하,101.8,8220
2,17,동계,최대부하,147.2,8220
2,18,동계,최대부하,147.2,8220
2,19,동계,최대부하,147.2,8220
2,20,동계,중간부하,101.8,8220
2,21,동계,중간부하,101.8,8220
2,22,동계,최대부하,147.2,8220
2,23,동계,경부하,64.3,8220
3,0,봄가을,경부하,52.5,8220
3,1,봄가을,경부하,52.5,8220
3,2,봄가을,경부하,52.5,8220
3,3,봄가을,경부하,52.5,8220
3,4,봄가을,경부하,52.5,8220
3,5,봄가을,경부하,52.5,8220
3,6,봄가을,경부하,52.5,8220
3,7,봄가을,경부하,52.5,8220
3,8,봄가을,경부하,52.5,8220
